"","SMILE","Activity"
"V495","C1=CC=C(C=C1)CN2C=C(N=N2)C3=CC4=C(C=C3)NN=C4NC(=O)C5=CC=CC=C5",3.100001583
"V496","CC1=CC=CC=C1C2=C(N=NN2CC3=CC=CC=C3)C4=CC5=C(C=C4)NN=C5N",3.400000617
"V497","C1=CC=C(C=C1)C2=CNC3=C2C(=NC=N3)NCCCO",3.599999814
"V499","CC1=C(C=C(C=C1)NC(=O)NC2=CC=C(C=C2)C3=CSC4=NC=NC(=C34)N)C",0.499687083
"V500","CC1=CC2=C(C=C1)NC(=C(C=C3C=C(C(=O)C=C3Br)OC)C#N)N2",3.299999496
"V501","COC1=C(C=C(C=C1)C=C2C(=O)N=C(S2)NC3=CC=CC=C3)O",3.899999872
"V502","C1COC2=C(C1N3C4=NC(=NC=C4NC3=O)N5C=NC6=C5C=C(C=C6)F)C=CC=C2F",3.100001583
"V503","CC1=CN2C(=C(N=C2C(=N1)C)C3=C(C=C(C=C3)F)F)C4=NC(=NC=C4)NCC(C)(C)CO",3.899999872
"V504","CC(C)OC1=NC=CN2C1=NC(=C2C3=NC(=NC=C3)NCC(C)(C)CO)C4=C(C=C(C=C4)F)F",3.899999872
"V505","C1=CC=C2C(=C1)C(=NNC2=O)C3=CC=C(C=C3)NC(=O)C4=CC(=CC=C4)S(=O)(=O)NCCN",3.899999872
"V506","C1=CC(=CC=C1C2=C(N3C=CSC3=N2)C4=CC=NC=C4)F",3.899999872
"V507","CC(=O)C1=CC=CC(=C1)C2=CN=C3C(=C2)C=CN3",2.900000965
"V508","C1=CC(=C2C=NSC2=C1)C3=CC=C(C=C3)NC(=O)NC4=CC(=C(C=C4)F)C(F)(F)F",2.400002346
"V509","COC1=C(C=CC(=C1)C2=CC3=C(C=C2)C(=O)NC4=C(N3)C=CC(=C4)C(=O)NCC5=CC(=CC=C5)F)O",3.799999763
"V510","CC1=C(C=CC(=C1)O)N2C=C(C(=O)C3=C2C=C(C=C3)C4=CC=NC=C4)C(=O)NN",3.899999872
"V511","CC1=CC(=C(C=C1Cl)NC(=O)NC2=NC=C(N=C2)C#N)OC3CCCC3",3.899999872
"V512","C1=CC(=CC=C1C2=CC(=CC(=C2O)CNC(=O)C(F)(F)F)NC3=NC=NC(=N3)N)Cl",3.799999763
"V513","CCN(CC)CC#CC1=CN=C(C2=C1SC=C2C3=CC=C(C=C3)NC(=O)NC4=CC=CC(=C4)C)N",1.2999429
"V516","CC1=CC=C(C=C1)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4C5=CN(N=C5)C(C)C(=O)N(C)C)N",1.599992178
"V517","CCC1=NC=CN2C1=NC(=C2C3=NC(=NC=C3)NCC(C)(C)O)C4=C(C=C(C=C4)F)F",3.899999872
"V519","C1=CC=C2C(=C1)C(=CN2)CC(COC3=CN=CC(=C3)C4=CC5=C(C=C4)NC(=O)C5=CC6=CC=CO6)N",2.600003087
"V520","C1=CC2=C(C=C1Br)C(=C3C(=O)NC(=S)S3)C(=O)N2",3.899999872
"V521","CC(C)(CNC1=NC=CC(=N1)C2=C(N=C3N2C=CN=C3OCC(F)(F)F)C4=CC=C(C=C4)F)CO",3.899999872
"V522","CC(CN1C=C(C=N1)C2=CN=C(C3=C2SC=C3C4=CC=C(C=C4)NC(=O)NC5=CC(=CC=C5)F)N)O",0.699837726
"V523","C1=CC=C(C=C1)CNC2=NC=NC(=C2)C3=CNC4=C3C=CC=N4",2.500003068
"V524","CN1CCN(CC1)CC2=CC3=C(C=C2)C4=C(C3)C(=NN4)C5=CSC(=C5)C#CCOCC6CC6",1
"V525","C1C2=C(C=C(C=C2C3=CC=C(C=C3)NC4=NC5=C(O4)C=C(C=C5)Cl)OCCCN)C(=O)N1",3.899999872
"V527","COC1=CC2=C(C=C1)NC(=O)C2=CC3=CN=CN3",3
"V528","CC1=CC(=C(N1)C=C2C3=CC=CC=C3NC2=O)C",2
"V529","CC1=C2C=C(C=CC2=NN1)C3=CC(=CN=C3)OCC(CC4=CC=CC=C4)N",3.899999872
"V530","CC(C1CCC(CC1)C(=O)NC2=C3C=CNC3=NC=C2)N",3.699999798
"V532","C1=CC(=CC=C1C(=O)NC2=C(SC3=C2C(=C(C=C3)Cl)Cl)C(=O)N)Cl",3.899999872
"V533","COC1=C(C=CC(=C1)C=C2C(=O)NC(=O)S2)O",3.899999872
"V534","C1=CC(=CC=C1C2=CC=NC=C2)C(=O)NC(CO)C3=CC(=CC(=C3)Cl)Cl",3.899999872
"V535","C1=CC(=CN=C1)CNC(=O)NCCCCCCNC(=O)NCC2=CN=CC=C2",3.899999872
"V536","C1=CC=C(C=C1)C2=CC3=C(NC(=O)N3)N=C2",3.500000321
"V537","C1CC2=C(C1)NN=C2NC(=O)CC3=CC=C(C=C3)Cl",3.899999872
"V538","C1=CC=C(C=C1)CN2C=C(N=N2)C3=CC4=C(C=C3)NN=C4NC(=O)C5=CC(=CC=C5)F",3.599999814
"V540","C1=CC2=C(C=CN=C2C=C1C(F)(F)F)NC(=O)NC3=NC=CN=C3",3
"V542","CC1=CC(=CC(=C1)NC(=O)NC2=CC(=C(C=C2)C3=C4CNC(=O)C4=CC=C3)C)C",2.300008203
"V543","CCOC(=O)C1=C(N2C(=C(C1C3=CC=CS3)C(=O)N)SC(=CC4=CC=CS4)C2=O)N",3.899999872
"V544","CC(C)CN1C2=C(C(=CC(=C2)C3=C(N=C4N3C=CS4)C5=CC=C(C=C5)F)F)N=C1N",3.899999872
"V545","CC(C)(C)C1=C2C(C(=C(OC2=NN1)N)C#N)C3=CC=CC=C3F",3.899999872
"V546","C1OC2=C(O1)C=C(C=C2)CNC3=C4C(=C(C=C3)S(=O)(=O)O)C=CC=C4O",3.899999872
"V548","CCN(CC)CCNC(=O)C=CC1=CN=C(C2=C1SC=C2C3=CC=C(C=C3)NC(=O)NC4=CC=CC(=C4)C)N",0.699837726
"V549","C1C2=C(C=CC=C2C(=O)N1)C3=CC=C(C=C3)NC4=NC5=CC=CC=C5O4",2.900000965
"V550","C1=CC(=CC=C1C2=C(N(C=N2)CCCO)C3=CC=NC=C3)F",3.899999872
"V551","CC(C1=CC(=CC=C1)OC)NC(=O)C2=CC=C(C=C2)C3=NC=NC=C3",3.899999872
"V552","CS(=O)(=O)NC1=CC=C(C=C1)C2=CC3=C(C=C2)NN=C3N",3.699999798
"V553","CC(C1=CC(=CC=C1)OC)NC(=O)C2=CC(=C(C=C2)C3=CC=NC=C3)F",3.899999872
"V554","CC(C)NC(=O)COC1=CC=CC(=C1)C2=NC3=CC=CC=C3C(=N2)NC4=CC5=C(C=C4)NN=C5",3.899999872
"V556","CCC1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCCCC5)OC)C",3.899999872
"V557","C1CCC(CC1)CNC(=O)C2=CC3=C(NN=C3S2)C4=CC=CC=C4",2.800001828
"V559","CCOC(=O)C1=CC2=C(C=C1)NC3=C2CCNC3=O",3.799999763
"V562","CC1=CC=C(C=C1)NC(=O)NC2=CC=C(C=C2)C3=COC4=NC=NC(=C34)N",1.400019635
"V563","CC1=CC(=CC2=C1NC(=C3C(=CC=NC3=O)NCC(C4=CC(=CC=C4)Cl)O)N2)N5CCOCC5",2.500003068
"V564","CC(C(C)(C)C)NC1=C(C(=O)C1=O)N(C2=CC=NC=C2)C(=O)C",3.799999763
"V565","CCCC(=O)NC1=NNC2=C1C=C(C=C2)C3=C(N(N=N3)CC4=CC=CC=C4)C5=CC=CC=C5",3.899999872
"V566","CC(C)N(C(C)C)C(=O)NC1=CC2=C(C=C1)N=C(C(=N2)C3=CC=CO3)C4=CC=CO4",3.899999872
"V567","CC(C1=CC(=CC=C1)OC)NC(=O)C2=C(C=C(C=C2)C3=CC=NC=C3)NCCCN",3.899999872
"V568","CN1CCN(CC1)CCCNC2=CC=CC(=N2)C3=NC4=C(C=CC=C4N3)C(=O)N",3.899999872
"V569","CC1=NC2=C(C=C(C=C2)NS(=O)(=O)C3=CC=C(C=C3)N)N=C1C",3.899999872
"V570","C1CCC(CC1)NC2=NC(=CC(=N2)Cl)C3=CNC4=C3C=CC=N4",3.400000617
"V571","CCCCC(=O)NC1=NC(=CC(=C1)C2=CNC3=C2C=CC=N3)Cl",3.400000617
"V573","C1CC(=O)N(C1)C2=CC(=CC=C2)NC3=NC=CC(=N3)C4=C(N=C5N4C=CS5)C6=CC(=CC=C6)NC(=O)C7=C(C=CC=C7F)F",1.700011062
"V574","CC1=CC2=CC(=CC(=C2N1)F)C3=CSC4=C3C(=NC=C4C=CC(=O)NC)N",0.800029359
"V575","CC1=CC=C(C=C1)C(=O)NC2=C(SC3=C2C(=C(C=C3)Cl)Cl)C#N",3.899999872
"V577","CCN(CC)CC#CC1=CC2=C(CC3=C2NN=C3C4=CN=C(C=C4)C#N)C=C1",3.899999872
"V578","CC1=C(NC(=C1CCC(=O)O)C)C=C2C3=CC=CC=C3NC2=O",2.600003087
"V579","CCCOC1=CC=CC(=C1)C(C)NC(=O)C2=CC=C(C=C2)C3=CC=NC=C3",3.899999872
"V580","C1=CC2=C(NC=C2C3=CC(=NC(=N3)N)Cl)N=C1",3.400000617
"V581","C1CCC2=C(C1)C3=C4N=C(NN4C(=O)N=C3S2)C5=CC=CC=C5",3.899999872
"V582","CN1C2=C(C(=O)C3=C(N2O)C=CC(=C3)Cl)C(=N1)C(F)(F)F",3.899999872
"V584","CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=NOC4=NC=NC(=C34)N",1.880959937
"V586","C1=CC(=CC(=C1)NC(=O)NC2=CC=C(C=C2)C3=NOC4=NC=NC(=C34)N)C(F)(F)F",1.481546336
"V587","CNC(=O)C1=NC(=CN=C1N)C2=CC(=C(C=C2)Cl)S(=O)(=O)NC3=C(C(=CC=C3)F)F",3.556302501
"V588","CC1=C(C=CC=C1F)NS(=O)(=O)C2=C(C=CC(=C2)C3=CN=C(C(=N3)C(=O)NC)N)Cl",3.556302501
"V589","CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N",0.657560751
"V590","CCN1C2=CC(=NC=C2N=C1C3=NON=C3N)OC4=CC=CC(=C4)NC(=O)C5=CC=C(C=C5)OCCN6CCOCC6",3.899999872
"V591","C1CNC(=O)C2=C1NC(=C2)C3=CC=NC=C3",3.710258894
"V592","C1CNC(=O)C2=C1NC(=C2)C3=CC(=NC=C3)C4=CC5=CC=CC=C5N=C4",3.899999872
"V593","C1CNC(=O)C2=C1NC(=C2)C3=CC(=NC=C3)C4=CC=CC=C4F",3.899999872
"V594","C1=CC(=CC(=C1)F)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4)N",1.600797233
"V595","CC1CCN(CC1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N",3
"V596","C1CC(CCC1CN)CNC2=NC(=NC=C2[N+](=O)[O-])NCC3=CC=CC=C3Cl",3.899999872
"V597","C1COCCN1CCOC2=CC3=C(CC4=C3NN=C4C5=CN=C(C=C5)C#N)C=C2",3.899999872
"V598","C1CCN(C1)CCCCNC(=O)NC2=C(C(=NS2)OCC3=C(C=C(C=C3F)Br)F)C(=O)N",0.676890274
"V599","COC1=NC=CC(=N1)C2=C(N=CN2C3CCC(CC3)O)C4=CC=C(C=C4)F",3.899999872
"V600","CC1=C(C=C(C=C1)C(=O)NC2=NOC=C2)NC3=NC=NC4=C3C=NN4C5=CC=CC=C5",3.86085236
"V601","C1=CC=C(C=C1)C2=C(N=NC3=NNC(=C23)N)C4=CC=CC=C4",4.238314371
"V602","CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=NSC4=NC=NC(=C34)N",1.035319629
"V603","COC1=C2C(=C(C=C1)C3=CC=C(C=C3)NC(=O)NC4=CC(=CC=C4)Br)C(=NO2)N",1.028398897
"V604","COC1=C(C=C(C=C1)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)ON=C4N)Cl",1.229696244
"V605","C1CNCCC1N2C=NC(=C2C3=NC(=NC=C3)N)C4=CC=C(C=C4)F",3.699999798
"V606","C1C2=C(C3=CC=CC=C3NC1=O)NC4=C2C=C(C=C4)Br",3.794913852
"V607","CC1=CC=C(C=C1)C2=NN(C3=C2C(=NC=N3)N)C(C)(C)C",2.67191955
"V608","C1=CC(=CC=C1C2=C(NC(=N2)C3=CC=C(C=C3)F)C4=CC=NC=C4)F",3.899999872
"V609","C1=CC2=C(C=C1C3=CC=NC=C3)N(C=C(C2=O)C(=O)N)C4=C(C=C(C=C4)O)Cl",3.799999763
"V610","CC1=C(C=CC(=C1)O)N2C=C(C(=O)C3=C2C=C(C=C3)C4=CC=NC=C4)C(=O)N",3.899999872
"V611","CCC1=NC(=C(S1)C2=CC(=NC=C2)NC(=O)C3=CC=CC=C3)C4=CC(=CC=C4)C",2.900000965
"V612","CC1=CC(=CC(=C1)NC(=O)NC2=CC=C(C=C2)C3=C(SC4=NC=NC(=C34)N)C)C",1.007439548
"V613","CCOC1=C(C(=CC(=N1)C(=O)NCC2=CC=CC=C2S(=O)(=O)N)N)C#N",3.400000617
"V614","C1CCC(CC1)NC2=NC=CC(=N2)C3=CNC4=C3C=CC=N4",2.800001828
"V615","CN1CCN(CC1)CC2=CC3=C(C=C2)C4=C(C3=O)C(=NN4)C5=CSC(=C5)C#CCOCCOC",0.988246084
"V616","CSC1=CC=CC=C1CNC2=NC=C(C(=N2)NCC3CCC(CC3)CN)[N+](=O)[O-]",3.899999872
"V617","CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4)N",1.050973366
"V618","C1=CC(=CC(=C1)Cl)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4)N",1.178659966
"V619","C1COCCN1CCCCOC2=CC3=C(CC4=C3NN=C4C5=CN=C(C=C5)C#N)C=C2",3
"V620","CN1CCN(CC1)C2=CC=C(C=C2)C(=O)NC3=NNC4=C3CN(C4)C(=O)C(C5=CC=CC=C5)OC",2.635483747
"V621","CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=CN=CC4=C3C(=NN4C)N",0.68180599
"V622","CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=CN=CC4=C3C(=NN4C)N",0.389974431
"V623","C1CNC2=C(C(=NC=N2)N)N=C1C3=CC=C(C=C3)NC(=O)NC4=C(C=CC(=C4)C(F)(F)F)F",0.602059991
"V624","CC1=CN=C(N1)C2=CN=C(N=C2C3=C(C=C(C=C3)Cl)Cl)NCCNC4=NC=C(C=C4)C#N",3.899999872
"V625","CN(C)CCCC(=O)NC1=NNC2=NN=C(C=C21)C3=C(C(=CC=C3)F)F",3.899999872
"V626","CN1CCC(C(C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O",3.699999798
"V627","CCOC1=C(C(=CC(=N1)C(=O)NCC2=CC=C(C=C2)S(=O)(=O)C)N)C#N",3.599999814
"V628","CNC(=O)C1=CC=CC=C1NC2=NC(=NC=C2Cl)NC3=C(C=C(C=C3)N4CCOCC4)OC",2.700002397
"V629","CN(C)CC(=O)N1CCC2=CC(=C(C=C21)NC3=NC4=C(C=CN4)C(=N3)NC5=C(C(=CC=C5)F)C(=O)N)OC",3.400000617
"V630","CCN1C2=CC(=C(C=C2C(=O)C3=C1NOC3=O)F)Cl",3.899999872
"V631","COC1=C(C=C2C(=C1)N=CN2C3=CC(=C(S3)C(=O)O)OCC4=CC=CC=C4C(F)(F)F)OC",2.200001865
"V632","C1=CC=C(C(=C1)COC2=C(SC(=C2)N3C=NC4=CC=CC=C43)C(=O)N)C(F)(F)F",3.400000617
"V633","C1=CC(=CC(=C1)Cl)NC(=O)NC2=NC=C(S2)CCNC3=NC=NC4=C3SC=C4",2.300008203
"V634","CC1=C(SC(=N1)N)C2=NC(=NC=C2)NC3=CC=C(C=C3)N4CCOCC4",1.752161001
"V635","COC1=C(C(=CC=C1)F)C2=NCC3=CN=C(N=C3C4=C2C=C(C=C4)Cl)NC5=CC(=C(C=C5)C(=O)O)OC",2.500003068
"V636","CCCCN1C2=C(C=C(C=C2)N(C)C(=O)C3CCCCC3)N=C1NC(=O)C4=CC=C(C=C4)C#N",3.899999872
"V637","C1=CC=C(C=C1)NC2=NC(=NC=C2F)NC3=CC=CC=C3",2.600003087
"V638","C1=CC(=CC=C1OC2=CN=CC3=C2C=C(S3)C4=NC(=O)ON4)I",3.899999872
"V639","CC1=CC(=NC2=C1C3=C(S2)C(=NC=N3)N)C",3.599999814
"V640","CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=C(N4C(=C(C=N4)C5=CN(N=C5)C)N=C3)N",0.301029996
"V641","C1C2=C(C3=CC=CC=C3NC1=O)NC4=C2C=C(C=C4)[N+](=O)[O-]",3.199999125
"V642","COC1=C(C=C2C(=C1)N=CN2C3=CC(=C(S3)C(=O)N)OCC4=CC=CC=C4C(F)(F)F)OC",2.400980609
"V643","CN1C2=C(C=C(C=C2)N(C)C(=O)C3CCCCC3)N=C1NC(=O)C4=CC=C(C=C4)C#N",3.899999872
"V645","C1=CC=C(C=C1)C2=CC(=NC(=O)N2)C3=CC4=C(C=C3)NN=C4",3.899999872
"V646","C1CC(=O)N(C1)CC2=CC3=C(C=C2)N4C=CC=C4C(=O)N3",3.899999872
"V647","C1=CC2=C(C=CC(=C2)NC(=O)NC3=NC=C(N=C3)C#N)C=C1C(=O)O",3.500000321
"V648","CC1(CC2=CN=C(N=C2C3=C1C(=NN3C)C(=O)NC)NC4=CC=C(C=C4)N5CCN(CC5)C)C",4
"V649","CN1CCN(CC1)C2=NC3=CC=CC=C3C(=N2)C4=C(C(=O)NC4=O)C5=CNC6=CC=CC=C65",2.995691169
"V650","C1=CC(=C2C(=C1Cl)C3=C(S2)C(=O)N=CN3)Cl",3.899999872
"V651","C1=CC=C2C(=C1)C=C(S2)C3=C4C(=CC(=C3)C5=CN(C6=CN=C(N=C65)N)CCCN)C=NN4",3.699999798
"V652","CC1(C2=C(CN1C(=O)C(C)(C)C)C(=NN2)NC(=O)C3=CC(=CC(=C3)F)F)C",4
"V653","C1=CC=C2C(=C1)C3=NNC4=CC=CC(=C43)C2=O",3.400000914
"V654","COC1=NC=CC(=N1)C2=C(N=CN2C3CCNCC3)C4=CC=C(C=C4)F",3.899999872
"V655","C1CCC(C1)N2C3=C(C(=N2)C4=CN=C5C(=C4)C=CN5)C(=NC=N3)N",0.84401582
"V656","CC(C)N1C2=C(C(=N1)C3=CC(=CC=C3)O)C(=NC=N2)N",2.328379603
"V657","COC1=C(C=C(C=C1)C2=NN(C3=C2C(=NC=N3)N)C4CCC4)OC",3.84509804
"V658","CC(C)N1C2=C(C(=N1)C3=CC4=C(C=C3)N=CC=C4)C(=NC=N2)N",2.491361694
"V659","CN1C2=C(C(=N1)C3=CC4=CC=CC=C4C=C3)C(=NC=N2)N",3.041392685
"V660","CC(CN)N1C2=C(C(=N1)C3=CC(=C(C=C3)Cl)O)C(=NC=N2)N",3.056904851
"V661","CC(C)N1C2=C(C(=N1)C3=CC=C(C=C3)CC#N)C(=NC=N2)N",4.041392685
"V662","COC1=C(C=C(C=C1)C2=NN(C3=C2C(=NC=N3)N)C4CCCC4)OC",3.227886705
"V663","CCOC1=C(C=C(C=C1)C2=NN(C3=C2C(=NC=N3)N)C4CCCC4)OC",3.315970345
"V664","CN1C2=C(C(=N1)C3=CN=C4C(=C3)C=CN4)C(=NC=N2)N",2.973127854
"V665","CN1C2=C(C(=N1)C3=CC4=C(C=C3)C=CN4)C(=NC=N2)N",4.041392685
"V666","CC(C)N1C2=C(C(=C3C=CC(=O)C=C3)N1)C(=NC=N2)N",3.161368002
"V667","CC1=C(C=C(C=C1)C2=C3C(=NC=NC3=NN2)N)O",2.374748346
"V668","CC1=C(C=C(C=C1)C2=NN(C3=C2C(=NC=N3)N)C)O",2.178976947
"V669","CN1C2=C(C(=N1)C3=CC(=C(C=C3)Br)O)C(=NC=N2)N",3.477121255
"V670","COC1=C(C=C(C=C1)C2=C3C(=NC=NC3=NN2)N)O",3.025305865
"V672","CC(C)N1C2=C(C(=N1)C3=CN=CC=C3)C(=NC=N2)N",5
"V673","CC(C)N1C2=C(C(=N1)C3=CN=CN=C3)C(=NC=N2)N",5
"V674","CC(C)N1C2=C(C(=N1)C3=CC(=CO3)C=O)C(=NC=N2)N",3.008600172
"V675","CC(C)N1C2=C(C(=N1)C3=CC(=C(C=C3)NC(=O)OC(C)(C)C)OC)C(=NC=N2)N",3.348304863
"V676","C1=CC=C(C=C1)C2=C(OC=N2)CN3C4=C(C(=N3)C5=CC(=C(C=C5)F)O)C(=NC=N4)N",5
"V677","CC(C)N1C2=C(C(=N1)C3=CC(=C(C=C3)F)OC)C(=NC=N2)N",5
"V678","CC(C)N1C2=C(C(=N1)C3=CC(=C(C=C3)Cl)O)C(=NC=N2)N",1.301029996
"V679","CC(C)N1C2=C(C(=N1)C3=CC(=C(C=C3)N)OC)C(=NC=N2)N",3.414973348
"V680","CC(C)N1C2=C(C(=N1)C3=CC(=C(C=C3)NC(C)CO)OC)C(=NC=N2)N",2.28780173
"V681","C1CCC(C1)N2C3=C(C(=N2)C4=CC(=C(C=C4)N)O)C(=NC=N3)N",2.752816431
"V682","CC(C)N1C2=C(C(=N1)C3=CC4=C(C=C3)OC=C4)C(=NC=N2)N",3.462397998
"V683","C1CCC(C1)N2C3=C(C(=N2)C4=CC5=C(C=C4)OC=C5)C(=NC=N3)N",3.086359831
"V684","CC(C)N1C2=C(C(=N1)C3=CC4=NON=C4C=C3)C(=NC=N2)N",5
"V685","CC(C)N1C2=C(C(=N1)C3=CC(=C(C=C3)Br)O)C(=NC=N2)N",1.740362689
"V686","CC(CN)N1C2=C(C(=N1)C3=CC(=C(C=C3)Cl)O)C(=NC=N2)N",2.743509765
"V687","C1CC(C1)N2C3=C(C(=N2)C4=CC(=C(C=C4)Cl)O)C(=NC=N3)N",1.792391689
"V688","COC1=C(C=CC(=C1)C2=NN(C3=C2C(=NC=N3)N)C4CCCC4)N",2.876217841
"V689","CC(C)N1C2=C(C(=N1)C3=CC(=CC=C3)CO)C(=NC=N2)N",5
"V690","CC(C)N1C2=C(C(=N1)C3=CC(=CC=C3)CC#N)C(=NC=N2)N",3.681241237
"V691","CC(C)N1C2=C(C(=N1)C3=CC4=C(C=C3)NC(=O)N4)C(=NC=N2)N",4.113943352
"V692","CC(C)N1C2=C(C(=N1)C3=CC4=C(C=C3)OCC4)C(=NC=N2)N",5
"V693","CC(C)N1C2=C(C(=N1)C3=CC4=C(C=C3)OCCO4)C(=NC=N2)N",4.322219295
"V694","C1CCC(C1)N2C3=C(C(=N2)C4=CC5=NC=CN5C=C4)C(=NC=N3)N",4.698970004
"V695","C1CCC(C1)N2C3=C(C(=N2)C4=CC(=C(C=C4)Cl)O)C(=NC=N3)N",0.633468456
"V696","C1CNCC1N2C3=C(C(=N2)C4=CC(=C(C=C4)Cl)O)C(=NC=N3)N",2.240549248
"V697","C1COCC1N2C3=C(C(=N2)C4=CC(=C(C=C4)Cl)O)C(=NC=N3)N",1.819543936
"V698","CC(C)N1C2=C(C(=N1)C3=CC=CC(=C3)C#N)C(=NC=N2)N",4.633468456
"V699","CC(C)N1C2=C(C(=N1)C3=CC(=C(C=C3)F)C#N)C(=NC=N2)N",3.633468456
"V700","C1CCC(C1)N2C3=C(C(=N2)C4=CC5=C(C=C4)N=CC=C5)C(=NC=N3)N",3.643452676
"V701","CC1=NC2=C(C=C1)C=C(C=C2)C3=NN(C4=C3C(=NC=N4)N)C(C)C",3.041392685
"V702","CC(C)N1C2=C(C(=N1)C3=CC4=C(C=C3)N=C(C=C4)Cl)C(=NC=N2)N",2.982271233
"V703","CC(C)N1C2=C(C(=N1)C3=CC4=C(S3)C=CC(=C4)C=O)C(=NC=N2)N",3.214843848
"V704","CC1=C2C(=CC=C1)N=C(N(C2=O)C3=CC=CC=C3C)CN4C5=C(C(=N4)C6=CC(=CC=C6)O)C(=NC=N5)N",4.698970004
"V705","C1COCC1N2C3=C(C(=N2)C4=CC(=C(C=C4)Cl)O)C(=NC=N3)N",2.012837225
"V706","C1CC(NC1)CN2C3=C(C(=N2)C4=CC(=C(C=C4)Cl)O)C(=NC=N3)N",3.494154594
"V707","C1CNCC1CN2C3=C(C(=N2)C4=CC(=C(C=C4)Cl)O)C(=NC=N3)N",2.638489257
"V708","CC(C)N1C2=C(C(=N1)C3=CC(=C(C=C3)C#N)F)C(=NC=N2)N",5
"V709","CC(C)N1C2=C(C(=N1)C3=CN=C(C=C3)C#N)C(=NC=N2)N",5
"V710","CC(C)N1C2=C(C(=N1)C3=CC=C(C=C3)C(=O)C)C(=NC=N2)N",5
"V711","CC(C)N1C2=C(C(=N1)C3=CC4=NC=CN=C4C=C3)C(=NC=N2)N",4.113943352
"V712","CC(C)N1C2=C(C(=N1)C3=CC4=NC=CN=C4N=C3)C(=NC=N2)N",4.079181246
"V713","CC(C)N1C2=C(C(=N1)C3=CC4=C(C=C3)NC=NC4=O)C(=NC=N2)N",3.908485019
"V714","C1CC(CNC1)CN2C3=C(C(=N2)C4=CC(=C(C=C4)Cl)O)C(=NC=N3)N",3.854913022
"V715","C1CNCCC1CN2C3=C(C(=N2)C4=CC(=C(C=C4)Cl)O)C(=NC=N3)N",3.5774918
"V716","CC(C)N1C2=C(C(=N1)C3=CC(=C(C=C3)C=O)F)C(=NC=N2)N",3.079181246
"V717","CC(C)N1C2=C(C(=N1)C3=CC(=C(C(=C3)F)C=O)F)C(=NC=N2)N",3.146128036
"V718","CC(C)N1C2=C(C(=N1)C3=CC(=C(C=C3)C(=O)N)Cl)C(=NC=N2)N",5
"V719","CC(C)N1C2=C(C(=N1)C3=CC4=C(C=C3)NC(=O)C=C4)C(=NC=N2)N",5
"V720","C1CCC(C1)N2C3=C(C(=N2)C4=CC5=C(C=C4)NC(=O)C=C5)C(=NC=N3)N",5
"V721","C1CC(CNC1)CCN2C3=C(C(=N2)C4=CC(=C(C=C4)Cl)O)C(=NC=N3)N",3.10720997
"V722","CC(C)N1C2=C(C(=N1)C3=CC(=C(C=C3)C#N)O)C(=NC=N2)N",3.146128036
"V723","CC(C)N1C2=C(C(=C3C=CC(=O)C(=C3)F)N1)C(=NC=N2)N",3.184691431
"V724","CC(C)N1C2=C(C(=N1)C3=CC(=CC=C3)C(=O)C)C(=NC=N2)N",5
"V725","CC1=C(SC(=C1)C2=NN(C3=C2C(=NC=N3)N)C(C)C)C=O",3.021189299
"V726","CC(C)N1C2=C(C(=N1)C3=CC(=CC=C3)NS(=O)(=O)C)C(=NC=N2)N",5
"V727","CC(C)N1C2=C(C(=N1)C3=CC4=C(C=C3)N=C(C=C4)N)C(=NC=N2)N",3.707570176
"V728","CC(C)N1C2=C(C(=N1)C3=CC4=C(C=C3)N=C(C=C4)NN)C(=NC=N2)N",4.698970004
"V729","CC1=CC(=O)C=CC1=C2C3=C(N=CN=C3N)N(N2)C(C)C",2.328379603
"V730","CC1=C(C=C(C=C1)C2=C3C(=NC=NC3=NN2)N)OCC4=CC=CC=C4",5
"V731","CC1=C(C=C(C=C1)C2=NN(C3=C2C(=NC=N3)N)C(C)C)O",1
"V732","CC(C)N1C2=C(C(=C3C=C(C(=O)C=C3F)F)N1)C(=NC=N2)N",3.908485019
"V733","CC(C)N1C2=C(C(=N1)C3=CC(=CC=C3)OC)C(=NC=N2)N",5
"V734","CC(C)N1C2=C(C(=N1)C3=CC=C(C=C3)NS(=O)(=O)C)C(=NC=N2)N",3.770115295
