"","SMILE","Activity"
"V99","CC1=CC(=CC=C1)NC(=O)NC2=CC3=C(C=C2)C4=C(CC3)SC5=NC=NC(=C45)N",1.94457872
"V100","C1CCN(C1)CC(C2=CC=CC=C2)NC(=O)C3=CC4=C(S3)C(=NN4)NC(=O)C5=CC=C(C=C5)N6CCOCC6",2.209515015
"V102","CC1=CC=C(C=C1)CNC2=NN3C(=NN=C3C4=CC=CC=C4)C=C2",3.899999872
"V103","CC1=C(SC(=N1)COC2=CC=CC=C2Cl)C3=NC(=NC=C3)N",3.899999872
"V104","CN1C=C(C2=CC=CC=C21)C=C3C4=C(C=CC=N4)NC3=O",2.400002346
"V105","C1CN(CCC1C2=C(C(=NN2)C3=C(C=C(C=C3)Cl)F)C4=NC=NC=C4)C(=O)CO",3.899999872
"V106","C1C2C(C2N)CN1C3=C(C=C4C(=O)C(=CN(C4=N3)C5=C(C=C(C=C5)F)F)C(=O)O)F",3.899999872
"V107","C1=CC=C(C=C1)CC2=CN(N=N2)C3=CC4=C(C=C3)NN=C4",3.924206419
"V108","C1=CC=C(C=C1)CN2C=C(N=N2)C3=CC4=C(C=C3)NN=C4N",3.649832288
"V109","C1=CC=C(C=C1)CC2=NOC(=C2)C3=CC4=C(C=C3)NN=C4N",3.517327882
"V110","C1=CN2C=C(N=C2N=C1)C3=CC4=C(C=C3)NN=C4",3.924206419
"V111","C1=CC=C(C=C1)NC2=NC(=CS2)C3=CC4=C(C=C3)NN=C4",3.724206644
"V112","C1=CC=C(C=C1)CNC2=NC(=CS2)C3=CC4=C(C=C3)NN=C4",3.924206419
"V113","C1CCC(CC1)NC2=C(N=C3N2C=CC=N3)C4=CC5=C(C=C4)NN=C5",3.899999872
"V114","CC(C)NC1=C(N=C2N1C=CC=N2)C3=CC4=C(C=C3)NN=C4",3.924206419
"V115","CCCCNC1=C(N=C2N1C=CC=N2)C3=CC4=C(C=C3)NN=C4",3.948412966
"V116","C1COCCN1CCN2C=NC(=C2C3=CC4=C(C=C3)NN=C4)C5=CC=C(C=C5)F",3.924206419
"V117","CSC1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F",3.899999872
"V118","CN1CCN(CC1)C2=CC(=C(C=C2)OC(F)(F)F)NC3=NC=C4CCC5=C(C4=N3)N(N=C5C(=O)N)CCO",4
"V119","CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N",3.400000617
"V120","CC1=CC(=CC=C1)NC(=O)NC2=C(C=C(C=C2)C3=C4CNC(=O)C4=CC=C3)C",0.948801856
"V121","CC1=C(C=C(C=C1)NC(=O)NC2=CC=C(C=C2)C3=C4CNC(=O)C4=CC=C3)C",1.698150661
"V122","CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=C4CNC(=O)C4=CC=C3",1.599649939
"V123","CN1CCN(CC1)C2=CC(=C(C=C2)OC(F)(F)F)NC3=NC=CC(=N3)C4=CC(=CN4C)C(=O)N",4
"V124","CN1CCN(CC1)C2=CC(=C(C=C2)OC(F)(F)F)NC3=NC=CC(=N3)C4=CC5=C(N4C)CCNC5=O",4
"V125","C1CCC(CC1)NC2=NC(=O)C=C(N2)C3=CC=NC=C3",3.899999872
"V126","CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=CSC4=NC=NC(=C34)N",0.344040597
"V127","CC1=CC=CC(=C1C)C2=C(C=C(N2)C3=NC(=NC=C3)N)C(=O)N",3.899999872
"V128","C1=CC2=C(C=C1C3=CN(N=N3)CC4=C(C=C(C=C4)C(F)(F)F)C(F)(F)F)C=NN2",3.899999872
"V129","CC1=CC2=C(C=CN=C2C=C1)NC(=O)NC3=CC=CC(=N3)C(F)(F)F",3.299999496
"V130","C1=CC=C(C=C1)CNC(=O)NC2=NC=C(S2)[N+](=O)[O-]",3.899999872
"V131","CC1=CC(=CC(=C1)NC(=O)NC2=CC3=C(C=C2)C4=C(CC3)SC5=NC=NC(=C45)N)C",1.800029359
"V133","C1=CC(=CC(=C1)F)OC2=CN=CC3=C2C=C(S3)C(=O)N",3.699999798
"V134","CS(=O)(=O)NCCOC1=CN=CC(=C1)C2=CC3=C(C=C2)C=NC=C3",3.899999872
"V135","C1CN(CC=C1C2=CNC3=C2C=CC=N3)C(=O)NC(CO)C4=CC=CC=C4",3.899999872
"V136","CC1=CC=C(C=C1)C(=O)NC2=C(SC3=C2C(=C(C=C3)Cl)Cl)C(=O)N",3.299999496
"V137","CC(C)CN1C2=C(C=CC(=C2)C3=C(N=C4N3C=CS4)C5=CC=C(C=C5)F)N=C1N",3.699999798
"V138","CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)NC(=O)C3=CSC4=NC=NC(=C34)N",3.599999814
